date,S1_V1_count,S1_V2_count,S1_V3_count,S2_V1_count,S2_V2_count,S2_V3_count
2014-10-01,158,237,359,125,46,18
2014-11-01,158,237,359,125,46,18
2014-12-01,158,237,359,125,46,18
2015-01-01,158,237,359,125,46,18
2015-02-01,158,237,359,125,46,18
2015-03-01,158,237,359,125,46,18
2015-04-01,158,237,359,125,46,18
2015-05-01,158,237,359,125,46,18
2015-06-01,158,237,359,125,46,18
2015-07-01,158,237,359,125,46,18
2015-08-01,158,237,359,125,46,18
2015-09-01,158,237,359,125,46,18
2015-10-01,163,237,346,117,43,27
2015-11-01,163,237,346,117,43,27
2015-12-01,163,237,346,117,43,27
2016-01-01,163,237,346,117,43,27
2016-02-01,163,237,346,117,43,27
2016-03-01,163,237,346,117,43,27
2016-04-01,163,237,346,117,43,27
2016-05-01,163,237,346,117,43,27
2016-06-01,163,237,346,117,43,27
2016-07-01,163,237,346,117,43,27
2016-08-01,163,237,346,117,43,27
2016-09-01,163,237,346,117,43,27
2016-10-01,163,235,343,115,43,28
2016-11-01,163,235,343,115,43,28
2016-12-01,163,235,343,115,43,28
2017-01-01,163,235,343,115,43,28
2017-02-01,163,235,343,115,43,28
2017-03-01,163,235,343,115,43,28
2017-04-01,163,235,343,115,43,28
2017-05-01,163,235,343,115,43,28
2017-06-01,163,235,343,115,43,28
2017-07-01,163,235,343,115,43,28
2017-08-01,163,235,343,115,43,28
2017-09-01,163,235,343,115,43,28
2017-10-01,163,236,339,114,41,30
2017-11-01,163,236,339,114,41,30
2017-12-01,163,236,339,114,41,30
2018-01-01,163,236,339,114,41,30
2018-02-01,163,236,339,114,41,30
2018-03-01,163,236,339,114,41,30
2018-04-01,163,236,339,114,41,30
2018-05-01,163,236,339,114,41,30
2018-06-01,163,236,339,114,41,30
2018-07-01,163,236,339,114,41,30
2018-08-01,163,236,339,114,41,30
2018-09-01,163,236,339,114,41,30
2018-10-01,147,244,341,128,30,25
2018-11-01,147,244,341,128,30,25
2018-12-01,147,244,341,128,30,25
2019-01-01,147,244,341,128,30,25
2019-02-01,147,244,341,128,30,25
2019-03-01,147,244,341,128,30,25
2019-04-01,147,244,341,128,30,25
2019-05-01,147,244,341,128,30,25
2019-06-01,147,244,341,128,30,25
2019-07-01,147,244,341,128,30,25
2019-08-01,147,244,341,128,30,25
2019-09-01,147,244,341,128,30,25
2019-10-01,135,243,342,135,27,18
2019-11-01,135,243,342,135,27,18
2019-12-01,135,243,342,135,27,18
2020-01-01,135,243,342,135,27,18
2020-02-01,135,243,342,135,27,18
2020-03-01,135,243,342,135,27,18
2020-04-01,135,243,342,135,27,18
2020-05-01,135,243,342,135,27,18
2020-06-01,135,243,342,135,27,18
2020-07-01,135,243,342,135,27,18
2020-08-01,135,243,342,135,27,18
2020-09-01,135,243,342,135,27,18
2020-10-01,130,241,337,136,24,17
2020-11-01,130,241,337,136,24,17
2020-12-01,130,241,337,136,24,17
2021-01-01,130,241,337,136,24,17
2021-02-01,130,241,337,136,24,17
2021-03-01,130,241,337,136,24,17
2021-04-01,130,241,337,136,24,17
2021-05-01,130,241,337,136,24,17
2021-06-01,130,241,337,136,24,17
2021-07-01,130,241,337,136,24,17
2021-08-01,130,241,337,136,24,17
2021-09-01,130,241,337,136,24,17
2021-10-01,141,226,336,123,37,16
2021-11-01,141,226,336,123,37,16
2021-12-01,141,226,336,123,37,16
2022-01-01,141,226,336,123,37,16
2022-02-01,141,226,336,123,37,16
2022-03-01,141,226,336,123,37,16
2022-04-01,141,226,336,123,37,16
2022-05-01,141,226,336,123,37,16
2022-06-01,141,226,336,123,37,16
2022-07-01,141,226,336,123,37,16
2022-08-01,141,226,336,123,37,16
2022-09-01,141,226,336,123,37,16
2022-10-01,140,228,331,122,34,19
2022-11-01,140,228,331,122,34,19
2022-12-01,140,228,331,122,34,19
2023-01-01,140,228,331,122,34,19
2023-02-01,140,228,331,122,34,19
2023-03-01,140,228,331,122,34,19
2023-04-01,140,228,331,122,34,19
2023-05-01,140,228,331,122,34,19
2023-06-01,140,228,331,122,34,19
2023-07-01,140,228,331,122,34,19
2023-08-01,140,228,331,122,34,19
2023-09-01,140,228,331,122,34,19
2023-10-01,157,217,327,106,46,24
2023-11-01,157,217,327,106,46,24
2023-12-01,157,217,327,106,46,24
2024-01-01,157,217,327,106,46,24
2024-02-01,157,217,327,106,46,24
2024-03-01,157,217,327,106,46,24
2024-04-01,157,217,327,106,46,24
2024-05-01,157,217,327,106,46,24
2024-06-01,157,217,327,106,46,24
2024-07-01,157,217,327,106,46,24
2024-08-01,157,217,327,106,46,24
2024-09-01,157,217,327,106,46,24
2024-10-01,156,215,328,106,47,22
2024-11-01,156,215,328,106,47,22
2024-12-01,156,215,328,106,47,22
2025-01-01,156,215,328,106,47,22
2025-02-01,156,215,328,106,47,22
2025-03-01,156,215,328,106,47,22
