month_x,cay
2014-04,0.0574655304536158
2014-05,-0.025693737896322233
2014-06,0.02786523370177285
2014-07,0.0941012087122779
2014-08,0.07453002472385428
2014-09,-0.02699844261197626
2014-10,-0.000991452408465321
2014-11,0.02812183044482275
2014-12,0.011770905010385135
2015-01,-0.015128583234398363
2015-02,0.016810391795393897
2015-03,0.005291049977268258
2015-04,0.01710355703312416
2015-05,-0.007964618528918166
2015-06,0.007652876885865467
2015-07,0.004497541277899586
2015-08,0.036362395841655015
2015-09,0.010221794654539096
2015-10,0.11032770415487825
2015-11,0.15074108718838808
2015-12,0.22832611276994008
2016-01,0.11577399842196101
2016-02,0.11755353969211235
2016-03,0.18015567998823556
2016-04,0.15616250327704684
2016-05,0.10341757644744654
2016-06,0.10668574256166963
2016-07,0.11542919152685549
2016-08,0.08823197375619429
2016-09,0.08568877571611822
2016-10,0.09405296976250277
2016-11,0.05850121374031758
2016-12,0.059534180315379714
2017-01,0.04629332663990482
2017-02,0.07111921211205896
2017-03,0.09009298407736921
2017-04,0.07561327933404272
2017-05,0.024925913524205257
2017-06,0.06992939747491178
2017-07,0.08089571481304425
2017-08,0.06282587955238839
2017-09,0.007771828834293615
2017-10,0.041246673235830755
2017-11,0.05165164236593611
2017-12,0.13731948981876663
2018-01,0.10802598117888529
2018-02,0.14079201486213933
2018-03,0.10174258973074757
2018-04,0.13355314178418354
2018-05,0.16033516727216224
2018-06,0.16664310058165732
2018-07,0.16446624176369795
2018-08,0.1492967279761661
2018-09,0.13465097725512898
2018-10,0.12652246612974416
2018-11,0.13283220305483567
2018-12,0.16171694291946181
2019-01,0.14492348720676063
2019-02,0.13942712422167425
2019-03,0.13397888699247673
2019-04,0.14938466747680224
2019-05,0.13219926043976216
2019-06,0.16945877498116424
2019-07,0.12941592366471255
2019-08,0.17451566866789925
2019-09,0.12293355583343235
2019-10,0.14532393125853993
2019-11,0.13333734032358713
2019-12,0.17325645342743456
2020-01,0.07037214425186633
2020-02,0.17474558233591608
2020-03,-0.2356635253888495
2020-04,-0.9126708933153811
2020-05,-0.8929967624796333
2020-06,-0.7494552690478073
2020-07,-0.6359835362309187
2020-08,-0.7294673756146128
2020-09,-0.335096216021725
2020-10,-0.1022022516536758
2020-11,-0.16143493471589387
2020-12,-0.1632108887701058
2021-01,-0.05925254247737044
2021-02,-0.02207443166102685
2021-03,-0.04691567703496524
2021-04,-0.32475153469965967
2021-05,-0.5654342019403025
2021-06,-0.1812512466463243
2021-07,-0.06462541229593732
2021-08,-0.04925460815300653
2021-09,-0.0997429777911325
2021-10,-0.020055908117720733
2021-11,-0.041824533581754864
2021-12,-0.020107954980145948
2022-01,-0.12498372704740213
2022-02,-0.031783439262266455
2022-03,0.013155627007835236
2022-04,-0.00085947729335345
2022-05,-0.011808475811351471
2022-06,-0.0038010489227833233
2022-07,-0.13721423230594
2022-08,-0.1789790823935249
2022-09,-0.1965775474395688
2022-10,0.012034400635181797
2022-11,0.020032819131117208
2022-12,0.17776148542194115
2023-01,0.18414514225330691
2023-02,0.14615632114552035
2023-03,0.21346828765597436
2023-04,0.19183309417840988
2023-05,0.09033938524566842
2023-06,-0.024730656225422365
2023-07,-0.21179908920487023
2023-08,-0.3529221271108849
2023-09,-0.2689263009380056
2023-10,-0.1446894863173096
2023-11,-0.157302697620338
2023-12,-0.14043734901372318
2024-01,-0.12003714595018877
2024-02,-0.08513685483289635
2024-03,-0.060558069774209855
2024-04,-0.16199210753322646
2024-05,-0.08398090506830691
2024-06,0.05423246749593602
2024-07,0.1307495902291187
2024-08,0.09830599595716549
2024-09,0.05542950950263226
2024-10,0.06667684278055219
2024-11,0.1937149615630389
2024-12,0.2035124077333581
2025-01,0.20553133220092334
2025-02,0.16009663841808752
2025-03,0.17568074160531388
