month,national_weighted_avg_income
2014-04,12811.15146
2014-05,14071.83162
2014-06,13803.13302
2014-07,14442.45259
2014-08,13169.36297
2014-09,13873.56772
2014-10,13404.38822
2014-11,14213.91433
2014-12,13062.40574
2015-01,14023.97317
2015-02,13946.48887
2015-03,14121.53235
2015-04,13234.34635
2015-05,13763.11089
2015-06,13756.92638
2015-07,14634.3196
2015-08,13391.28313
2015-09,13621.43389
2015-10,12934.60612
2015-11,14409.95587
2015-12,13557.55917
2016-01,14135.04338
2016-02,14280.49588
2016-03,14087.98011
2016-04,13936.96232
2016-05,14056.45826
2016-06,14715.46687
2016-07,13793.19057
2016-08,14194.32489
2016-09,13648.02462
2016-10,14580.74328
2016-11,13555.78408
2016-12,14291.49086
2017-01,14199.85652
2017-02,14891.47317
2017-03,14380.33972
2017-04,15148.69169
2017-05,15244.60638
2017-06,16273.04871
2017-07,15878.34275
2017-08,16659.24932
2017-09,15805.80569
2017-10,18006.16092
2017-11,17559.87357
2017-12,18234.8303
2018-01,18011.88912
2018-02,20074.38881
2018-03,18622.50111
2018-04,18902.14638
2018-05,18878.69774
2018-06,20628.05045
2018-07,19567.87985
2018-08,19169.9233
2018-09,19795.41477
2018-10,21474.26279
2018-11,20533.23609
2018-12,20602.09233
2019-01,21016.76018
2019-02,22361.46785
2019-03,21137.42024
2019-04,20176.76631
2019-05,20476.81126
2019-06,21616.74156
2019-07,21114.44898
2019-08,20379.28834
2019-09,20427.56971
2019-10,21990.26282
2019-11,21420.42711
2019-12,21168.39132
2020-01,21815.97133
2020-02,23180.32132
2020-03,21797.00349
2020-04,18279.16607
2020-05,17985.36138
2020-06,16430.3975
2020-07,16198.66758
2020-08,16503.04526
2020-09,17572.07295
2020-10,19004.75547
2020-11,18967.92824
2020-12,19538.30077
2021-01,20001.53628
2021-02,21476.14539
2021-03,19768.29516
2021-04,20802.24149
2021-05,19552.76207
2021-06,20532.04036
2021-07,19294.65652
2021-08,19610.37145
2021-09,19873.84389
2021-10,21458.82381
2021-11,20615.08186
2021-12,21045.94863
2022-01,21375.4934
2022-02,22883.3585
2022-03,21903.79281
2022-04,22020.01942
2022-05,22528.85305
2022-06,23536.41715
2022-07,22129.36735
2022-08,21604.59793
2022-09,21597.02739
2022-10,22664.13141
2022-11,21905.89563
2022-12,21591.56422
2023-01,22038.17555
2023-02,23476.46407
2023-03,22430.16532
2023-04,22191.26837
2023-05,23587.62772
2023-06,24062.09374
2023-07,24883.1028
2023-08,24803.37308
2023-09,25286.98043
2023-10,25887.64422
2023-11,25180.74746
2023-12,24982.67623
2024-01,26321.91459
2024-02,27559.38935
2024-03,26761.62364
2024-04,27222.49034
2024-05,29931.58607
2024-06,30755.69134
2024-07,28881.18889
2024-08,28717.85806
2024-09,29851.10342
2024-10,31058.76573
2024-11,30051.0775
2024-12,28484.07234
2025-01,30827.2683
2025-02,34473.212
2025-03,34243.89165
